αx10,κ,ϕ
1,19864.16447362187,0.33773240708737223
2,14128.816109623325,0.3679221181903136
3,11843.060629682655,0.384617971552588
4,10753.088143967943,0.3940747227476824
5,10322.52253297097,0.398147946056761
6,10414.875660348975,0.3972565420262106
7,11111.934772640401,0.3908333144580716
8,12848.605176431398,0.3768148781175742
9,17531.304703848244,0.3485004658952762
